ID,label
0,4
1,8
2,5
3,0
4,3
5,4
6,7
7,7
8,8
9,6
10,7
11,4
12,2
13,7
14,0
15,5
16,4
17,3
18,7
19,6
20,3
21,5
22,9
23,3
24,7
25,9
26,5
27,5
28,7
29,3
30,3
31,4
32,7
33,0
34,5
35,0
36,7
37,4
38,9
39,0
40,0
41,7
42,2
43,6
44,0
45,2
46,7
47,2
48,7
49,0
50,1
51,4
52,5
53,1
54,1
55,5
56,8
57,8
58,8
59,0
60,7
61,9
62,4
63,2
64,3
65,9
66,8
67,6
68,8
69,9
70,8
71,2
72,2
73,8
74,4
75,6
76,3
77,0
78,2
79,8
80,8
81,8
82,7
83,0
84,6
85,1
86,4
87,7
88,7
89,3
90,5
91,8
92,3
93,6
94,5
95,1
96,4
97,5
98,1
99,6
100,0
101,3
102,7
103,9
104,4
105,0
106,9
107,0
108,8
109,1
110,5
111,0
112,3
113,6
114,8
115,7
116,4
117,8
118,1
119,2
120,5
121,4
122,5
123,0
124,3
125,7
126,9
127,1
128,5
129,9
130,5
131,5
132,8
133,1
134,4
135,7
136,5
137,9
138,5
139,5
140,2
141,4
142,6
143,3
144,1
145,3
146,9
147,0
148,3
149,8
150,5
151,7
152,3
153,4
154,2
155,3
156,4
157,4
158,6
159,6
160,7
161,5
162,8
163,2
164,0
165,6
166,0
167,1
168,9
169,9
170,2
171,0
172,2
173,9
174,5
175,0
176,6
177,5
178,8
179,8
180,1
181,1
182,0
183,4
184,0
185,4
186,1
187,7
188,9
189,5
190,4
191,6
192,8
193,9
194,3
195,5
196,6
197,8
198,3
199,6
200,0
201,6
202,9
203,1
204,0
205,1
206,7
207,2
208,3
209,4
210,2
211,1
212,0
213,6
214,7
215,3
216,1
217,4
218,3
219,6
220,3
221,0
222,0
223,9
224,6
225,4
226,3
227,1
228,7
229,1
230,9
231,6
232,2
233,5
234,4
235,2
236,9
237,7
238,2
239,0
240,6
241,6
242,5
243,0
244,2
245,6
246,0
247,9
248,8
249,7
250,6
251,0
252,2
253,2
254,4
255,0
256,9
257,0
258,1
259,2
260,2
261,7
262,0
263,8
264,6
265,9
266,6
267,8
268,2
269,5
270,2
271,2
272,6
273,2
274,0
275,9
276,4
277,0
278,8
279,4
280,7
281,7
282,9
283,2
284,4
285,9
286,8
287,5
288,5
289,9
290,7
291,3
292,0
293,1
294,7
295,6
296,7
297,1
298,9
299,7
300,2
301,4
302,6
303,2
304,0
305,2
306,8
307,4
308,4
309,6
310,9
311,2
312,5
313,6
314,4
315,6
316,1
317,5
318,9
319,7
320,3
321,5
322,6
323,2
324,5
325,5
326,6
327,0
328,0
329,7
330,0
331,6
332,6
333,0
334,9
335,7
336,0
337,2
338,8
339,8
340,7
341,7
342,4
343,9
344,6
345,7
346,4
347,4
348,2
349,3
350,2
351,2
352,3
353,1
354,5
355,5
356,8
357,2
358,8
359,4
360,3
361,5
362,0
363,1
364,0
365,9
366,6
367,8
368,5
369,5
370,5
371,0
372,7
373,8
374,0
375,5
376,7
377,3
378,7
379,5
380,2
381,1
382,3
383,1
384,3
385,3
386,1
387,2
388,2
389,9
390,7
391,1
392,0
393,4
394,8
395,8
396,3
397,4
398,9
399,9
400,6
401,4
402,6
403,7
404,7
405,3
406,6
407,7
408,9
409,7
410,9
411,7
412,3
413,7
414,5
415,7
416,0
417,3
418,0
419,4
420,1
421,8
422,3
423,6
424,5
425,8
426,2
427,1
428,9
429,5
430,8
431,7
432,4
433,1
434,8
435,7
436,6
437,2
438,6
439,2
440,2
441,0
442,0
443,4
444,8
445,8
446,6
447,6
448,2
449,1
450,0
451,2
452,5
453,4
454,9
455,2
456,1
457,3
458,6
459,3
460,8
461,3
462,5
463,7
464,3
465,0
466,7
467,1
468,5
469,7
470,9
471,1
472,8
473,4
474,4
475,7
476,4
477,2
478,6
479,9
480,3
481,4
482,1
483,4
484,0
485,2
486,3
487,1
488,4
489,9
490,8
491,2
492,8
493,3
494,4
495,8
496,6
497,5
498,4
499,1
500,9
501,6
502,6
503,6
504,0
505,1
506,8
507,6
508,2
509,9
510,4
511,3
512,0
513,3
514,2
515,5
516,2
517,0
518,6
519,9
520,9
521,5
522,8
523,3
524,5
525,1
526,2
527,3
528,6
529,3
530,1
531,6
532,1
533,7
534,4
535,3
536,3
537,0
538,3
539,3
540,7
541,1
542,9
543,1
544,2
545,9
546,5
547,3
548,6
549,3
550,5
551,9
552,9
553,3
554,7
555,8
556,0
557,0
558,7
559,6
560,3
561,3
562,5
563,8
564,6
565,6
566,8
567,4
568,2
569,2
570,8
571,4
572,1
573,7
574,9
575,3
576,3
577,8
578,1
579,4
580,5
581,4
582,8
583,1
584,5
585,3
586,8
587,5
588,0
589,3
590,2
591,0
592,6
593,9
594,0
595,1
596,0
597,0
598,9
599,1
600,3
601,1
602,8
603,9
604,1
605,3
606,7
607,5
608,2
609,7
610,1
611,0
612,7
613,8
614,5
615,8
616,4
617,9
618,3
619,3
620,7
621,0
622,0
623,1
624,7
625,7
626,3
627,0
628,7
629,5
630,7
631,4
632,5
633,1
634,0
635,2
636,0
637,5
638,8
639,3
640,6
641,5
642,1
643,9
644,4
645,3
646,6
647,1
648,0
649,2
650,5
651,7
652,4
653,3
654,2
655,0
656,6
657,5
658,0
659,3
660,8
661,4
662,1
663,2
664,6
665,5
666,7
667,8
668,5
669,1
670,8
671,5
672,8
673,2
674,1
675,1
676,1
677,8
678,2
679,1
680,7
681,8
682,6
683,9
684,2
685,1
686,1
687,3
688,6
689,6
690,3
691,4
692,3
693,7
694,3
695,3
696,5
697,0
698,8
699,2
700,1
701,4
702,0
703,9
704,8
705,9
706,5
707,1
708,6
709,7
710,4
711,4
712,1
713,0
714,9
715,9
716,6
717,0
718,2
719,1
720,0
721,4
722,8
723,5
724,7
725,8
726,9
727,8
728,4
729,3
730,7
731,9
732,8
733,7
734,5
735,0
736,0
737,5
738,6
739,1
740,3
741,5
742,8
743,0
744,5
745,0
746,4
747,8
748,7
749,9
750,3
751,1
752,4
753,1
754,4
755,6
756,4
757,8
758,0
759,4
760,8
761,4
762,2
763,3
764,4
765,2
766,5
767,7
768,1
769,0
770,6
771,5
772,0
773,0
774,7
775,4
776,7
777,2
778,3
779,4
780,7
781,6
782,4
783,5
784,5
785,8
786,8
787,3
788,2
789,4
790,7
791,1
792,3
793,1
794,3
795,4
796,3
797,1
798,7
799,1
800,5
801,4
802,4
803,7
804,2
805,3
806,1
807,3
808,6
809,2
810,5
811,2
812,8
813,1
814,0
815,9
816,1
817,9
818,4
819,7
820,6
821,0
822,2
823,6
824,5
825,8
826,8
827,5
828,6
829,7
830,8
831,9
832,9
833,7
834,2
835,0
836,7
837,8
838,4
839,7
840,2
841,9
842,5
843,3
844,1
845,8
846,1
847,5
848,1
849,1
850,6
851,2
852,5
853,5
854,5
855,0
856,9
857,2
858,8
859,0
860,2
861,2
862,9
863,8
864,5
865,8
866,8
867,1
868,4
869,9
870,2
871,4
872,3
873,5
874,1
875,2
876,9
877,9
878,6
879,7
880,1
881,3
882,0
883,2
884,2
885,4
886,6
887,2
888,8
889,7
890,4
891,3
892,8
893,8
894,5
895,2
896,8
897,4
898,1
899,5
900,9
901,9
902,3
903,1
904,4
905,8
906,7
907,4
908,4
909,9
910,0
911,5
912,3
913,6
914,8
915,1
916,3
917,2
918,9
919,6
920,2
921,3
922,4
923,8
924,3
925,7
926,4
927,1
928,3
929,3
930,0
931,0
932,3
933,0
934,2
935,7
936,6
937,7
938,2
939,0
940,7
941,2
942,0
943,6
944,6
945,8
946,2
947,7
948,4
949,1
950,2
951,3
952,9
953,7
954,3
955,7
956,4
957,1
958,8
959,2
960,0
961,3
962,4
963,6
964,7
965,6
966,3
967,2
968,7
969,9
970,6
971,2
972,5
973,0
974,8
975,3
976,5
977,9
978,8
979,2
980,0
981,8
982,8
983,6
984,7
985,4
986,3
987,2
988,3
989,4
990,9
991,2
992,1
993,9
994,9
995,3
996,1
997,1
998,1
999,6
1000,1
1001,7
1002,1
1003,9
1004,8
1005,6
1006,3
1007,7
1008,4
1009,9
1010,2
1011,9
1012,3
1013,2
1014,7
1015,0
1016,9
1017,3
1018,6
1019,9
1020,9
1021,6
1022,8
1023,3
1024,7
1025,3
1026,4
1027,0
1028,1
1029,7
1030,6
1031,5
1032,7
1033,1
1034,4
1035,0
1036,7
1037,3
1038,2
1039,4
1040,0
1041,4
1042,6
1043,5
1044,3
1045,8
1046,0
1047,8
1048,6
1049,2
1050,7
1051,9
1052,7
1053,5
1054,8
1055,8
1056,2
1057,1
1058,0
1059,3
1060,1
1061,5
1062,5
1063,1
1064,5
1065,5
1066,5
1067,0
1068,0
1069,8
1070,7
1071,0
1072,4
1073,5
1074,9
1075,7
1076,9
1077,0
1078,2
1079,6
1080,5
1081,8
1082,3
1083,0
1084,6
1085,6
1086,3
1087,9
1088,2
1089,4
1090,4
1091,2
1092,5
1093,1
1094,1
1095,8
1096,6
1097,2
1098,8
1099,8
1100,4
1101,7
1102,8
1103,9
1104,3
1105,9
1106,8
1107,3
1108,6
1109,9
1110,2
1111,2
1112,4
1113,2
1114,8
1115,2
1116,5
1117,1
1118,6
1119,1
1120,1
1121,0
1122,0
1123,8
1124,0
1125,4
1126,1
1127,0
1128,7
1129,9
1130,8
1131,6
1132,3
1133,9
1134,8
1135,5
1136,1
1137,0
1138,5
1139,2
1140,0
1141,9
1142,4
1143,8
1144,2
1145,6
1146,1
1147,8
1148,4
1149,5
1150,1
1151,7
1152,1
1153,5
1154,7
1155,1
1156,2
1157,7
1158,4
1159,0
1160,9
1161,9
1162,1
1163,2
1164,6
1165,8
1166,6
1167,8
1168,3
1169,1
1170,6
1171,7
1172,9
1173,8
1174,4
1175,1
1176,0
1177,7
1178,1
1179,3
1180,7
1181,3
1182,2
1183,5
1184,0
1185,4
1186,1
1187,8
1188,4
1189,8
1190,5
1191,3
1192,9
1193,4
1194,1
1195,0
1196,4
1197,0
1198,0
1199,2
1200,0
1201,3
1202,0
1203,7
1204,0
1205,8
1206,7
1207,3
1208,4
1209,8
1210,8
1211,8
1212,3
1213,6
1214,3
1215,5
1216,3
1217,3
1218,7
1219,0
1220,2
1221,1
1222,5
1223,7
1224,8
1225,2
1226,8
1227,0
1228,4
1229,9
1230,7
1231,6
1232,8
1233,9
1234,0
1235,7
1236,2
1237,3
1238,0
1239,0
1240,3
1241,8
1242,1
1243,6
1244,3
1245,5
1246,8
1247,3
1248,8
1249,7
1250,6
1251,5
1252,3
1253,2
1254,4
1255,2
1256,4
1257,3
1258,4
1259,5
1260,4
1261,5
1262,2
1263,3
1264,8
1265,1
1266,6
1267,3
1268,1
1269,4
1270,2
1271,1
1272,3
1273,5
1274,8
1275,1
1276,6
1277,3
1278,5
1279,9
1280,4
1281,5
1282,3
1283,3
1284,4
1285,7
1286,9
1287,7
1288,8
1289,6
1290,5
1291,6
1292,0
1293,2
1294,7
1295,2
1296,3
1297,2
1298,9
1299,9
1300,8
1301,0
1302,5
1303,0
1304,7
1305,1
1306,8
1307,1
1308,5
1309,0
1310,4
1311,6
1312,3
1313,6
1314,1
1315,7
1316,1
1317,4
1318,5
1319,5
1320,1
1321,8
1322,1
1323,7
1324,0
1325,0
1326,0
1327,3
1328,6
1329,2
1330,3
1331,4
1332,3
1333,9
1334,6
1335,0
1336,1
1337,0
1338,1
1339,0
1340,1
1341,6
1342,7
1343,9
1344,4
1345,1
1346,5
1347,9
1348,6
1349,6
1350,8
1351,6
1352,4
1353,1
1354,0
1355,3
1356,4
1357,0
1358,1
1359,3
1360,2
1361,2
1362,8
1363,0
1364,5
1365,6
1366,4
1367,8
1368,3
1369,1
1370,1
1371,5
1372,8
1373,0
1374,7
1375,6
1376,4
1377,7
1378,1
1379,9
1380,4
1381,0
1382,0
1383,4
1384,5
1385,6
1386,2
1387,1
1388,8
1389,2
1390,1
1391,8
1392,7
1393,7
1394,0
1395,2
1396,7
1397,4
1398,3
1399,3
1400,5
1401,9
1402,5
1403,1
1404,3
1405,7
1406,0
1407,0
1408,2
1409,3
1410,6
1411,1
1412,4
1413,8
1414,3
1415,7
1416,3
1417,6
1418,5
1419,0
1420,4
1421,6
1422,7
1423,4
1424,4
1425,3
1426,6
1427,9
1428,6
1429,2
1430,1
1431,6
1432,0
1433,4
1434,4
1435,1
1436,5
1437,6
1438,9
1439,3
1440,7
1441,1
1442,6
1443,2
1444,3
1445,6
1446,4
1447,3
